Designator,Mid X,Mid Y,Layer,Rotation
C5,57.00,42.00,Bottom,270.0
C6,61.80,42.10,Bottom,270.0
C9,36.00,42.50,Bottom,180.0
J2,39.30,66.20,Bottom,180.0
Q1, 9.00,63.00,Bottom,180.0
R6,27.43,61.18,Bottom,0.0
R7,27.33,56.72,Bottom,0.0
R8,27.23,52.36,Bottom,0.0
R9,27.33,48.10,Bottom,0.0
R10, 8.00,58.00,Bottom,270.0
R11,13.00,57.90,Bottom,90.0
R12,17.50,57.80,Bottom,270.0
R17,44.50,51.50,Bottom,270.0
R18,47.50,51.50,Bottom,90.0
R19,36.00,47.00,Bottom,180.0
S1, 9.00,72.00,Bottom,90.0
S2,17.40,72.00,Bottom,90.0
U5,59.25,51.48,Bottom,90.0
U6,39.59,58.48,Bottom,270.0
U7,45.50,44.50,Bottom,180.0
