Designator,Mid X,Mid Y,Layer,Rotation
C1,45.00,44.70,Top,0.0
C2,45.10,41.40,Top,0.0
C3,69.62,45.00,Top,0.0
C4,80.24,61.67,Top,90.0
C7,46.40,67.00,Top,90.0
C8,46.30,55.30,Top,90.0
D1,30.70,55.40,Top,270.0
IC1,35.90,69.10,Top,0.0
J1,79.09,68.95,Top,270.0
L1,79.93,53.17,Top,90.0
L2,37.20,55.00,Top,0.0
R1, 9.50,45.90,Top,0.0
R2,59.17,54.48,Top,0.0
R3,75.34,53.87,Top,270.0
R4,61.52,75.58,Top,0.0
R5,69.02,75.69,Top,0.0
R13,15.50,45.80,Top,0.0
R14,52.20,47.90,Top,90.0
R15,52.20,41.70,Top,270.0
R16,69.70,41.90,Top,0.0
T1,64.65,53.24,Top,90.0
U1,14.00,61.00,Top,180.0
U2,34.40,43.80,Top,180.0
U3,59.99,42.91,Top,0.0
U4,66.01,65.88,Top,90.0
